    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.00s
S4R2-B width=384 candidate=baseline k=9 session_all_admitted=true next_writable_mount=Applied again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=12
S4R2-B width=384 candidate=baseline k=10 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=12
S4R2-B width=384 candidate=a1 first_mount=Applied overwrites_admitted_in_one_session=11 next_step=Some("PublishError::SpaceAdmissionRefused")
S4R2-B width=384 candidate=a1 k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=384 candidate=a1 k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
S4R2-B width=384 candidate=a1 k=2 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=6
S4R2-B width=384 candidate=a1 k=3 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=7
S4R2-B width=384 candidate=a1 k=4 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=8
S4R2-B width=384 candidate=a1 k=5 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=9
S4R2-B width=384 candidate=a1 k=6 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=10
S4R2-B width=384 candidate=a1 k=7 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=11
S4R2-B width=384 candidate=a1 k=8 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=12
S4R2-B width=384 candidate=a1 k=9 session_all_admitted=true next_writable_mount=Applied again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=12
S4R2-B width=384 candidate=a1 k=10 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=12
S4R2-B width=384 candidate=a1 k=11 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=13
S4R2-B width=384 candidate=a2 first_mount=Applied overwrites_admitted_in_one_session=22 next_step=Some("PublishError::SpaceAdmissionRefused")
S4R2-B width=384 candidate=a2 k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=384 candidate=a2 k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
S4R2-B width=384 candidate=a2 k=2 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=6
S4R2-B width=384 candidate=a2 k=3 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=7
S4R2-B width=384 candidate=a2 k=4 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=8
S4R2-B width=384 candidate=a2 k=5 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=9
S4R2-B width=384 candidate=a2 k=6 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=10
S4R2-B width=384 candidate=a2 k=7 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=11
S4R2-B width=384 candidate=a2 k=8 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=12
S4R2-B width=384 candidate=a2 k=9 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=13
