fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events	reuse_steps	rebuild_mapping_mismatch	writes_refused
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FMFO	F:noop M:ok F:noop O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	12	229376	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FMFM	F:noop M:ok F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	12	196608	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FMMF	F:noop M:ok M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	12	196608	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FMMO	F:noop M:ok M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	18	327680	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FMOF	F:noop M:ok O:ok F:ok(F=3,reclaimed=1)	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	16	294912	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FMMM	F:noop M:ok M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	18	294912	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FMOM	F:noop M:ok O:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	16	294912	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FMOO	F:noop M:ok O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	18	360448	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FOFF	F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FOFO	F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FOOF	F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FOMF	F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	6	98304	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FOFM	F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	6	98304	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FOMO	F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	12	229376	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FOMM	F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	12	196608	0	0	-	[]	1	0
