fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F4-rot-both	N3-iso-persisted	OFOFMOM	O:ok F:noop O:ok F:ok(F=3,reclaimed=1) M:ok O:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	33	655360	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOFMOO	O:ok F:noop O:ok F:ok(F=3,reclaimed=1) M:ok O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	35	720896	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOFOFM	O:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok F:ok(F=6,reclaimed=17) M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	33	655360	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOFOFO	O:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok F:ok(F=6,reclaimed=17) O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	33	688128	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOFOMF	O:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok M:ok F:ok(F=6,reclaimed=17)	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	33	655360	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOFOMM	O:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	33	655360	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOFOOF	O:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok O:ok F:ok(F=7,reclaimed=25)	ok	same	-	[2, 2]	4	0	[2, 2]	33	688128	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOFOMO	O:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	33	688128	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOFOOM	O:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok O:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	33	688128	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOFOOO	O:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	35	753664	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOMFFF	O:ok F:noop O:ok M:ok F:ok(F=3,reclaimed=1) F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	23	458752	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOMFFM	O:ok F:noop O:ok M:ok F:ok(F=3,reclaimed=1) F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	29	557056	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOMFFO	O:ok F:noop O:ok M:ok F:ok(F=3,reclaimed=1) F:noop O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	29	589824	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFOMFMF	O:ok F:noop O:ok M:ok F:ok(F=3,reclaimed=1) M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	29	557056	0	0	t1@50182:released-and-isolated
