fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOFFO	O:ok M:ok F:noop O:ok F:ok(F=3,reclaimed=1) F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	29	589824	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOFMF	O:ok M:ok F:noop O:ok F:ok(F=3,reclaimed=1) M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	29	557056	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOFMM	O:ok M:ok F:noop O:ok F:ok(F=3,reclaimed=1) M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	35	655360	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOFOF	O:ok M:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok F:ok(F=6,reclaimed=17)	ok	same	-	[0, 0]	0	0	[0, 0]	33	655360	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOFOM	O:ok M:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	33	655360	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOFMO	O:ok M:ok F:noop O:ok F:ok(F=3,reclaimed=1) M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	35	688128	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOFOO	O:ok M:ok F:noop O:ok F:ok(F=3,reclaimed=1) O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	35	720896	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOMFF	O:ok M:ok F:noop O:ok M:ok F:ok(F=3,reclaimed=1) F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	29	557056	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOMFO	O:ok M:ok F:noop O:ok M:ok F:ok(F=3,reclaimed=1) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	35	688128	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOMFM	O:ok M:ok F:noop O:ok M:ok F:ok(F=3,reclaimed=1) M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	35	655360	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOMMF	O:ok M:ok F:noop O:ok M:ok M:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	0	0	[0, 0]	35	655360	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OMFOMMM	O:ok M:ok F:noop O:ok M:ok M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	35	655360	0	0	t1@50304:record-kept-allocated
