E7RESULT name=config devices=1 ring_regions=3 ring_slots_per_region=4 unit_slots=32 dirty_per_publish=1 normal_publishes=5 rollback_target_txg=3 warm_up_empty_publishes=3 follow_up_max=12 fua_is_boundary=true model=counting file_ops=0
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=5 faults=9 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=9 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=6 faults=10 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=9 quarantined_by_abandoned=3
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=7 faults=11 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=10 quarantined_by_abandoned=3
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=8 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=8 quarantined_by_abandoned=0
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=9 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=9 quarantined_by_abandoned=0
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=10 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=11 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=12 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=0 faults=1 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=5 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=1 faults=2 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=6 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=2 faults=3 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=3 faults=4 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=8 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=4 faults=5 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=9 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=5 faults=6 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=6 faults=7 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=7 faults=8 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=8 faults=9 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=9 faults=10 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=9 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=10 faults=11 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=11 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=false follow_up=12 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=0 faults=4 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=5 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=1 faults=5 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=6 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=2 faults=6 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=3 faults=7 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=4 faults=8 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=5 faults=9 chosen=Some(3) chosen_is_abandoned=false violation=0 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=6 faults=10 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=6 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=7 faults=11 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=8 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=8 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=9 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=9 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=10 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=11 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=tombstones warm_up=true follow_up=12 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=admission_term arm=shadow_accounts follow_up=0 allocated=4 deferred=5 abandoned_only=2 usable_with_term=21 deliverable=21 usable_without_term=23 gap=2 equal_with_term=true
E7RESULT name=admission_term arm=shadow_accounts follow_up=5 allocated=4 deferred=10 abandoned_only=2 usable_with_term=16 deliverable=16 usable_without_term=18 gap=2 equal_with_term=true
E7RESULT name=admission_term arm=shadow_accounts follow_up=11 allocated=4 deferred=11 abandoned_only=0 usable_with_term=17 deliverable=17 usable_without_term=17 gap=0 equal_with_term=true
E7RESULT name=admission_answer usable_with_term_equals_deliverable_in_every_row=true gap_equals_quarantine_before_drain=true gap_zero_at_drain=true criterion=E150_A1_A2
E7RESULT name=verdict baseline_case1=3 baseline_case2=19 shadow_case1=0 shadow_case2=0 tombstones_case1=0 tombstones_case2=0 shadow_clean=true tombstones_clean=true shadow_quarantine_zero_at_follow_up=11
E7RESULT name=done emitted=91
