E7RESULT name=config iters=2000000 rounds=5 inner=3 node_bytes=16384 node_hdr=64
E7RESULT name=derived arm=bing child_ptr=59 inode_entry=93 ledger_entry=81 root_record=194 tree_entry=121
E7RESULT name=derived arm=jia child_ptr=75 inode_entry=109 ledger_entry=97 root_record=226 tree_entry=137
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=32768 round=0 slots=201 depth=2 nodes=165 footprint_bytes=2703360 ns_per_lookup=78.31
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=32768 round=1 slots=201 depth=2 nodes=165 footprint_bytes=2703360 ns_per_lookup=78.49
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=32768 round=2 slots=201 depth=2 nodes=165 footprint_bytes=2703360 ns_per_lookup=78.47
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=32768 round=3 slots=201 depth=2 nodes=165 footprint_bytes=2703360 ns_per_lookup=78.49
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=32768 round=4 slots=201 depth=2 nodes=165 footprint_bytes=2703360 ns_per_lookup=78.48
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=524288 round=0 slots=201 depth=3 nodes=2623 footprint_bytes=42975232 ns_per_lookup=131.44
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=524288 round=1 slots=201 depth=3 nodes=2623 footprint_bytes=42975232 ns_per_lookup=131.31
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=524288 round=2 slots=201 depth=3 nodes=2623 footprint_bytes=42975232 ns_per_lookup=131.37
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=524288 round=3 slots=201 depth=3 nodes=2623 footprint_bytes=42975232 ns_per_lookup=132.78
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=524288 round=4 slots=201 depth=3 nodes=2623 footprint_bytes=42975232 ns_per_lookup=132.81
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=8388608 round=0 slots=201 depth=4 nodes=41946 footprint_bytes=687243264 ns_per_lookup=560.66
