E7RESULT name=config iters=2000000 rounds=5 inner=3 node_bytes=16384 node_hdr=64
E7RESULT name=derived arm=bing child_ptr=59 inode_entry=93 ledger_entry=81 root_record=194 tree_entry=121
E7RESULT name=derived arm=jia child_ptr=75 inode_entry=109 ledger_entry=97 root_record=226 tree_entry=137
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=32768 round=3 slots=201 depth=2 nodes=165 footprint_bytes=2703360 ns_per_lookup=80.05
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=32768 round=4 slots=201 depth=2 nodes=165 footprint_bytes=2703360 ns_per_lookup=80.01
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=524288 round=0 slots=201 depth=3 nodes=2623 footprint_bytes=42975232 ns_per_lookup=133.98
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=524288 round=1 slots=201 depth=3 nodes=2623 footprint_bytes=42975232 ns_per_lookup=133.87
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=524288 round=2 slots=201 depth=3 nodes=2623 footprint_bytes=42975232 ns_per_lookup=134.12
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=524288 round=3 slots=201 depth=3 nodes=2623 footprint_bytes=42975232 ns_per_lookup=133.55
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=524288 round=4 slots=201 depth=3 nodes=2623 footprint_bytes=42975232 ns_per_lookup=134.83
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=8388608 round=0 slots=201 depth=4 nodes=41946 footprint_bytes=687243264 ns_per_lookup=565.40
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=8388608 round=1 slots=201 depth=4 nodes=41946 footprint_bytes=687243264 ns_per_lookup=563.89
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=8388608 round=2 slots=201 depth=4 nodes=41946 footprint_bytes=687243264 ns_per_lookup=573.57
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=8388608 round=3 slots=201 depth=4 nodes=41946 footprint_bytes=687243264 ns_per_lookup=561.73
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=8388608 round=4 slots=201 depth=4 nodes=41946 footprint_bytes=687243264 ns_per_lookup=562.08
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=2048 round=0 slots=168 depth=2 nodes=14 footprint_bytes=229376 ns_per_lookup=57.63
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=2048 round=1 slots=168 depth=2 nodes=14 footprint_bytes=229376 ns_per_lookup=58.10
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=2048 round=2 slots=168 depth=2 nodes=14 footprint_bytes=229376 ns_per_lookup=58.15
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=2048 round=3 slots=168 depth=2 nodes=14 footprint_bytes=229376 ns_per_lookup=58.19
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=2048 round=4 slots=168 depth=2 nodes=14 footprint_bytes=229376 ns_per_lookup=58.18
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=32768 round=0 slots=168 depth=3 nodes=199 footprint_bytes=3260416 ns_per_lookup=88.09
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=32768 round=1 slots=168 depth=3 nodes=199 footprint_bytes=3260416 ns_per_lookup=88.09
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=32768 round=2 slots=168 depth=3 nodes=199 footprint_bytes=3260416 ns_per_lookup=88.19
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=32768 round=3 slots=168 depth=3 nodes=199 footprint_bytes=3260416 ns_per_lookup=88.05
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=32768 round=4 slots=168 depth=3 nodes=199 footprint_bytes=3260416 ns_per_lookup=87.98
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=524288 round=0 slots=168 depth=3 nodes=3141 footprint_bytes=51462144 ns_per_lookup=127.45
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=524288 round=1 slots=168 depth=3 nodes=3141 footprint_bytes=51462144 ns_per_lookup=128.82
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=524288 round=2 slots=168 depth=3 nodes=3141 footprint_bytes=51462144 ns_per_lookup=128.90
E7RESULT name=e128 arm=ledger_jia entry_bytes=97 keys=524288 round=3 slots=168 depth=3 nodes=3141 footprint_bytes=51462144 ns_per_lookup=129.29
