E7RESULT name=cell arm=G2S_tightened_states world=torn_newest s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=5 avg_candidates_x100=4554 avg_nonempty_x100=4527 min_states=2 avg_states_x100=4259 stalls=0
E7RESULT name=cell arm=G2R_mount world=torn_newest s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9654 min_candidates=5 avg_candidates_x100=4554 avg_nonempty_x100=4527 min_states=2 avg_states_x100=4259 stalls=0
E7RESULT name=cell arm=A_ring_persisted world=disk_loss s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2204 min_candidates=1 avg_candidates_x100=297 avg_nonempty_x100=297 min_states=1 avg_states_x100=296 stalls=0
E7RESULT name=cell arm=A_ring_persisted world=disk_loss s=1 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2204 min_candidates=2 avg_candidates_x100=298 avg_nonempty_x100=298 min_states=2 avg_states_x100=297 stalls=0
E7RESULT name=cell arm=C_k_runtime world=disk_loss s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2204 min_candidates=1 avg_candidates_x100=297 avg_nonempty_x100=297 min_states=1 avg_states_x100=296 stalls=0
E7RESULT name=cell arm=C_k_runtime world=disk_loss s=1 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2204 min_candidates=2 avg_candidates_x100=298 avg_nonempty_x100=298 min_states=2 avg_states_x100=297 stalls=0
E7RESULT name=cell arm=D_floor_txg world=disk_loss s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2300 min_candidates=1 avg_candidates_x100=297 avg_nonempty_x100=285 min_states=1 avg_states_x100=288 stalls=0
E7RESULT name=cell arm=D_floor_txg world=disk_loss s=1 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2300 min_candidates=2 avg_candidates_x100=298 avg_nonempty_x100=286 min_states=1 avg_states_x100=289 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=disk_loss s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2258 min_candidates=1 avg_candidates_x100=297 avg_nonempty_x100=290 min_states=1 avg_states_x100=292 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=disk_loss s=1 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2258 min_candidates=2 avg_candidates_x100=298 avg_nonempty_x100=291 min_states=1 avg_states_x100=293 stalls=0
E7RESULT name=cell arm=G_txg_cap world=disk_loss s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2258 min_candidates=1 avg_candidates_x100=297 avg_nonempty_x100=290 min_states=1 avg_states_x100=292 stalls=0
E7RESULT name=cell arm=G_txg_cap world=disk_loss s=1 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2258 min_candidates=2 avg_candidates_x100=298 avg_nonempty_x100=291 min_states=1 avg_states_x100=293 stalls=0
E7RESULT name=cell arm=G2R_tightened_roots world=disk_loss s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2258 min_candidates=1 avg_candidates_x100=297 avg_nonempty_x100=290 min_states=1 avg_states_x100=292 stalls=0
E7RESULT name=cell arm=G2R_tightened_roots world=disk_loss s=1 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2258 min_candidates=2 avg_candidates_x100=298 avg_nonempty_x100=291 min_states=1 avg_states_x100=293 stalls=0
E7RESULT name=cell arm=G2S_tightened_states world=disk_loss s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2258 min_candidates=1 avg_candidates_x100=297 avg_nonempty_x100=290 min_states=1 avg_states_x100=292 stalls=0
E7RESULT name=cell arm=G2S_tightened_states world=disk_loss s=1 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2258 min_candidates=2 avg_candidates_x100=298 avg_nonempty_x100=291 min_states=1 avg_states_x100=293 stalls=0
E7RESULT name=cell arm=G2R_mount world=disk_loss s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2258 min_candidates=1 avg_candidates_x100=297 avg_nonempty_x100=290 min_states=1 avg_states_x100=292 stalls=0
E7RESULT name=cell arm=G2R_mount world=disk_loss s=1 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2258 min_candidates=2 avg_candidates_x100=298 avg_nonempty_x100=291 min_states=1 avg_states_x100=293 stalls=0
E7RESULT name=cell arm=A_ring_persisted world=disk_loss s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2636 min_candidates=4 avg_candidates_x100=1192 avg_nonempty_x100=1192 min_states=2 avg_states_x100=1142 stalls=0
E7RESULT name=cell arm=A_ring_persisted world=disk_loss s=4 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2636 min_candidates=8 avg_candidates_x100=1196 avg_nonempty_x100=1196 min_states=2 avg_states_x100=1146 stalls=0
E7RESULT name=cell arm=C_k_runtime world=disk_loss s=4 lost_disk=0 fakes=20387 unrecoverable=0 retention_violations=0 checks=2636 min_candidates=4 avg_candidates_x100=1192 avg_nonempty_x100=1192 min_states=2 avg_states_x100=1142 stalls=0
E7RESULT name=cell arm=C_k_runtime world=disk_loss s=4 lost_disk=1 fakes=20445 unrecoverable=0 retention_violations=0 checks=2636 min_candidates=8 avg_candidates_x100=1196 avg_nonempty_x100=1196 min_states=2 avg_states_x100=1146 stalls=0
E7RESULT name=cell arm=D_floor_txg world=disk_loss s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2732 min_candidates=2 avg_candidates_x100=1163 avg_nonempty_x100=1144 min_states=1 avg_states_x100=1096 stalls=0
E7RESULT name=cell arm=D_floor_txg world=disk_loss s=4 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2732 min_candidates=4 avg_candidates_x100=1165 avg_nonempty_x100=1145 min_states=2 avg_states_x100=1097 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=disk_loss s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2690 min_candidates=2 avg_candidates_x100=1171 avg_nonempty_x100=1161 min_states=1 avg_states_x100=1112 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=disk_loss s=4 lost_disk=1 fakes=0 unrecoverable=0 retention_violations=0 checks=2690 min_candidates=5 avg_candidates_x100=1174 avg_nonempty_x100=1164 min_states=2 avg_states_x100=1115 stalls=0
E7RESULT name=cell arm=G_txg_cap world=disk_loss s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=2690 min_candidates=2 avg_candidates_x100=1171 avg_nonempty_x100=1161 min_states=1 avg_states_x100=1112 stalls=0
