S1W	312	24	barrier	k=22	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=23	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=24	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=25	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=26	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=27	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=28	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=29	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=30	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=31	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=32	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=33	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=34	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=35	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=36	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=37	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=38	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=39	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=40	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
