S1W	312	24	write	k=18	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=19	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=20	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=21	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=22	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=23	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=24	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=25	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=26	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=27	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=28	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=29	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=30	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=31	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
