## L0 (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
| IDX | 11736 | 300 | 0 | 0 | 0 | 0 | 0 |
| IDXN | 11736 | 0 | 0 | 0 | 0 | 0 | 0 |
| WALK | 11736 | 180 | 0 | 0 | 0 | 0 | 0 |
| CUR_IMPL | 11736 | 2076 | 0 | 0 | 15 | 0 | 0 |

## SW-mount (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
|---|---|---|---|---|---|---|---|
| TRUTH6 | 192 | 0 | 44 | 0 | 0 | 0 | 0 |
| DING | 192 | 44 | 0 | 44 | 28 | 28 | 0 |
| DING_DROPLAST | 192 | 10 | 54 | 0 | 0 | 0 | 0 |
| YI | 192 | 44 | 0 | 44 | 28 | 28 | 0 |
| BING_R1 | 192 | 34 | 10 | 34 | 18 | 18 | 0 |
| T1_STRICT | 192 | 34 | 10 | 34 | 18 | 18 | 0 |
| T1_OPT | 192 | 50 | 6 | 50 | 32 | 32 | 0 |
| T1_TX_STRICT | 192 | 39 | 5 | 39 | 23 | 23 | 0 |
| T1_TX_OPT | 192 | 46 | 2 | 46 | 30 | 30 | 0 |
| FP_LAST | 192 | 0 | 44 | 0 | 0 | 0 | 0 |
| IDX | 192 | 44 | 0 | 44 | 28 | 28 | 0 |
| IDXN | 192 | 0 | 44 | 0 | 0 | 0 | 0 |
| WALK | 192 | 0 | 44 | 0 | 0 | 0 | 0 |
| CUR_IMPL | 192 | 109 | 65 | 94 | 60 | 60 | 0 |

## SW-root (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
|---|---|---|---|---|---|---|---|
| TRUTH6 | 192 | 0 | 42 | 0 | 0 | 0 | 0 |
| DING | 192 | 42 | 0 | 42 | 26 | 26 | 0 |
| DING_DROPLAST | 192 | 10 | 52 | 0 | 0 | 0 | 0 |
| YI | 192 | 42 | 0 | 42 | 26 | 26 | 0 |
| BING_R1 | 192 | 42 | 0 | 42 | 26 | 26 | 0 |
| T1_STRICT | 192 | 42 | 0 | 42 | 26 | 26 | 0 |
| T1_OPT | 192 | 47 | 5 | 47 | 29 | 29 | 0 |
| T1_TX_STRICT | 192 | 42 | 0 | 42 | 26 | 26 | 0 |
| T1_TX_OPT | 192 | 42 | 0 | 42 | 26 | 26 | 0 |
| FP_LAST | 192 | 0 | 42 | 0 | 0 | 0 | 0 |
